model,description,original_arm,trajectory,windows,rel_l2,u_rmse,v_rmse,tke_rel_l2,mean_field_rel_l2,fluctuation_rel_l2,tke_field_rel_l2,tke_energy_ratio,delta_rel_l2_vs_current80,delta_tke_vs_current80,delta_mean_field_vs_current80,delta_fluctuation_vs_current80
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,3750_0.h5,42,0.0453500427568247,0.002042262476888,0.0011178552479666,0.3028548798857344,0.0247228550288838,0.6158447185189926,0.3028548798857344,0.7906663894550653,0.0004036138751392984,-0.007928846892783392,3.8491472021298656e-05,0.007374597817092932
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,6300_0.h5,42,0.0432629634028669,0.002999222312723,0.0018341441399772,0.1779772951530625,0.0235539188889454,0.4188355317361917,0.1779772951530625,0.916943800638434,0.0003455195727304003,-0.0030109943969161,-1.0517127134301169e-05,0.0048320537776037065
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,6300_20.h5,42,0.1019029754602808,0.0064998963589027,0.0045776908722489,0.4638586992514513,0.0649326815799985,0.7143334568129955,0.4638586992514513,0.8053725921709782,0.0007497531136849006,-0.01094430970954352,0.00013570215671600272,0.007760590116201116
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,7575_20.h5,42,0.106306803097418,0.0080672336648994,0.0057955363653956,0.4654719633866025,0.0659192976103201,0.6994858600624905,0.4654719633866025,0.771922925125364,0.0007094813293424956,-0.011695167816514362,0.0001582429700567045,0.00670187256415733
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,8850_20.h5,42,0.1056298122784297,0.0092651516370616,0.0065695517400347,0.4793599452735079,0.0642163574336337,0.7175212923742206,0.4793599452735079,0.7546572570120412,0.0007162103590589025,-0.015062108210054714,0.0001507805179249977,0.00682851477673907
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,10125_0.h5,29,0.0402387703080725,0.0043903371143118,0.0027893149546069,0.3754875179871568,0.0206778880807059,0.762234566221848,0.3754875179871568,0.8111314379955711,0.0007654241895634975,-0.01915792110680431,9.247558964839767e-05,0.01867263584605061
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,10125_15.h5,42,0.0854740907498688,0.0091442883218807,0.0051561821273115,0.4273334659634931,0.0486775073580279,0.7005560710660813,0.4273334659634931,0.8153808088239933,0.0014277399882102887,-0.021880535188747607,0.00011743890853899847,0.016920825866751033
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,11400_5.h5,42,0.0424741259218025,0.0054605204167942,0.0029404674716779,0.4571253056279425,0.0214633399878577,0.8912679459298497,0.4571253056279425,0.803662108065593,0.0007946222707296002,-0.020641533402067702,0.0001456318918187996,0.020470626530094016
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,19050_0.h5,42,0.0494166058639527,0.0099787979534061,0.0063767006133303,0.4580124438600715,0.0222057013486573,1.0285865022801512,0.4580124438600715,0.8160012954695532,0.0008572192324800068,-0.016407495288109475,6.758762441239768e-05,0.021858615899410516
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,20325_10.h5,42,0.0775364928705735,0.017675828563539,0.0073962839419663,0.4509443180262983,0.038402209784331,0.8438923619472357,0.4509443180262983,0.821558396014585,0.0024403273469985054,-0.03593464510835759,0.0002562444115076015,0.03405024363372289
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,20325_20.h5,42,0.1003069802934211,0.0204151974848211,0.012636815126418,0.4024766759738359,0.0524044917555818,0.7286086064592001,0.4024766759738359,0.8367160584756416,0.0018531418069070021,-0.0234069969843701,0.00038126208705030473,0.01732651459079282
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,21600_15.h5,42,0.0995931154833127,0.0225122310697864,0.0090637997759069,0.4259392249368116,0.0509981373845432,0.7533940343740121,0.4259392249368116,0.7498859984774656,0.002494029912553708,-0.0371042291639912,0.00041897233113179916,0.023773171149232164
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,21600_5.h5,23,0.0461896644125856,0.0107425518242025,0.0061045201660092,0.4577877445030969,0.0202873174415064,1.1006052778952395,0.4577877445030969,0.8582999107991797,0.001072472559406401,-0.016316290577898407,0.00019826549297620108,0.02901672285299073
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,22875_15.h5,42,0.1053073606756084,0.0251832927591508,0.0095314012342626,0.464239876187812,0.0517843147687529,0.8140872058704222,0.464239876187812,0.7537286601413026,0.00290950526087691,-0.03672214841913296,0.0005450676793394005,0.027413289067545477
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,25425_20.h5,42,0.1283512028563656,0.0332455583440058,0.0139408157417127,0.5404573682749658,0.0687003246090113,0.7444634070860182,0.5404573682749658,0.661742520212918,0.0018141854405241964,-0.030576162438386456,0.00046040156816680444,0.013257806557331442
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,26700_10.h5,42,0.102575623710516,0.030582477625392,0.0089495451211063,0.4901948621904318,0.0514995691543638,0.8051704123600312,0.4901948621904318,0.6684987790625138,0.0024813338041990013,-0.03463261366968068,0.0005976790805317031,0.02347233016871564
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,3750_0.h5,42,0.0458148538935736,0.0020510567885419,0.0011508832513657,0.2977987715583522,0.0248478779562207,0.623500835710769,0.2977987715583522,0.8039368034670112,0.0008684250118881978,-0.012984955220165573,0.0001635143993581993,0.015030715008869322
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,6300_0.h5,42,0.0437123407374351,0.003015289003597,0.0018772728700956,0.1763558226173425,0.0236910243729014,0.4239841817796512,0.1763558226173425,0.9238243811766026,0.0007948969072986006,-0.004632466932636081,0.00012658835682169758,0.009980703821063197
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,6300_20.h5,42,0.1028981774545981,0.0065373003723678,0.004658470339033,0.4550720616606917,0.065138956052873,0.7245279315912839,0.4550720616606917,0.8339383681390857,0.0017449551080021969,-0.019730947300303114,0.00034197662959049857,0.017955064894489503
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,7575_20.h5,42,0.1072601359989173,0.0081102267175015,0.0058862704344659,0.456104007195404,0.0661202311122304,0.7084391987013365,0.456104007195404,0.7977625370888605,0.0016628142308418026,-0.021063124007712875,0.000359176471966996,0.015655211203003394
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,8850_20.h5,42,0.1066198418776044,0.0093177981738699,0.0066782602262458,0.4680906086941552,0.0644298273967365,0.7268322722916223,0.4680906086941552,0.782175309162512,0.0017062399582336019,-0.02633144478940741,0.00036425048102779745,0.016139494694140777
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,10125_0.h5,29,0.0394677889414024,0.0043496633216824,0.0026672212730319,0.4102810174311752,0.0206980307304564,0.7419156701686113,0.4102810174311752,0.7520177905805981,-5.5571771066034725e-06,0.015635578337214073,0.00011261823939889837,-0.0016462602071861676
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,10125_15.h5,42,0.0842698802022659,0.009082942576035,0.0049654849387589,0.4622527787714716,0.0490486140741752,0.682825168452436,0.4622527787714716,0.7466252750313466,0.00022352944060739788,0.01303877761923089,0.0004885456246862957,-0.0008100767468942616
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,11400_5.h5,42,0.0414207216198733,0.0054094709925055,0.0027074659837363,0.4955839659575438,0.0213863121652332,0.8622648059117007,0.4955839659575438,0.7160073396752551,-0.00025878203119959753,0.017817126927533566,6.860406919429948e-05,-0.00853251348805495
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,19050_0.h5,42,0.0482634010974727,0.0098500556256585,0.0060637125767556,0.492514032496094,0.0220423791264961,1.0002299319110914,0.492514032496094,0.7269487841536509,-0.0002959855339999956,0.01809409334791301,-9.573459774880194e-05,-0.006497954469649292
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,20325_10.h5,42,0.0753080217585217,0.0174930812359581,0.006385376487259,0.5055109869796999,0.0383826251521865,0.8106642872657353,0.5055109869796999,0.7085043916779642,0.00021185623494671124,0.018632023845043977,0.000236659779363102,0.000822168952222424
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,20325_20.h5,42,0.0993459980948687,0.0203132340515283,0.0123772366654224,0.4460423605522582,0.0530357491942176,0.7142821467595993,0.4460423605522582,0.7555856455045119,0.0008921596083546063,0.020158687594052205,0.0010125195256861022,0.003000054891192039
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,21600_15.h5,42,0.0973770825353026,0.0222531785331807,0.0082489778785493,0.4763890041677077,0.0511339977478577,0.7293238007167832,0.4763890041677077,0.6541205846144172,0.00027799696454360034,0.01334555006690491,0.0005548326944462972,-0.00029706250799677036
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,21600_5.h5,23,0.0450914021172174,0.0106141750064262,0.0057304542742504,0.5056995113188709,0.0201373255627422,1.070125577783133,0.5056995113188709,0.7400963153108936,-2.5789735961803673e-05,0.03159547623787562,4.827361421200216e-05,-0.0014629772591157053
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,22875_15.h5,42,0.1026967143796943,0.0248318683290865,0.0085576999612391,0.5151412221034027,0.0514945188801008,0.7882689136934035,0.5151412221034027,0.6499004467285247,0.0002988589649628032,0.014179197496457796,0.0002552717906873017,0.0015949968905267786
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,25425_20.h5,42,0.1276883296759975,0.0332505564554979,0.013433206511574,0.5806673691310915,0.0691680778219582,0.736345589220023,0.5806673691310915,0.5912222576295407,0.0011513122601561065,0.009633838417739238,0.000928154781113702,0.00513998869133625
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,26700_10.h5,42,0.1012598393647243,0.0305591796745274,0.0075315514913253,0.5391018863367719,0.0519461174246826,0.7881168147337989,0.5391018863367719,0.5806383013626133,0.0011655494584073,0.01427441047665945,0.0010442273508505032,0.006418732542483374
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,3750_0.h5,42,0.0447364386575042,0.0020273143071532,0.0010807044946945,0.3230671027592237,0.0248425360641835,0.60247993962896,0.3230671027592237,0.7643204031027769,-0.00020999022418120156,0.01228337598070589,0.00015817250732099927,-0.005990181072939693
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,6300_0.h5,42,0.0428133261734592,0.0029816391287997,0.0017930153835414,0.1840956610815253,0.0234804788306175,0.41320193081896,0.1840956610815253,0.9080958860175242,-0.0001041176566773036,0.003107371531546721,-8.395718546220024e-05,-0.0008015471396279894
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,6300_20.h5,42,0.1013551168030932,0.0064751066488629,0.0045405996898257,0.4871313143240603,0.0652491019855632,0.7054422678470118,0.4871313143240603,0.7573297691606994,0.00020189445649729243,0.012328305363065506,0.00045212256228070735,-0.0011305988497826158
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,7575_20.h5,42,0.1061429485486233,0.0080704306955699,0.0057680892735853,0.4908300412000334,0.0665582307199339,0.6932705296369326,0.4908300412000334,0.7256355844463735,0.0005456267805478004,0.013662909996916495,0.000797176079670503,0.00048654213859944395
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,8850_20.h5,42,0.105419522282459,0.0092568111972281,0.0065434637990794,0.5087934033624755,0.0648731696216955,0.7108803879439078,0.5087934033624755,0.7079987496692731,0.0005059203630882053,0.014371349878912865,0.0008075927059867927,0.00018761034642633678
