model,trajectory,window_start,horizon,rel_l2,mvpe,velocity_squared_error
plain_piv_cno,13950_5,40,1,0.12367473542690277,0.17809367179870605,0.00023453266476280987
plain_piv_cno,13950_5,60,1,0.11730599403381348,0.1447373926639557,0.00021136310533620417
plain_piv_cno,13950_5,80,1,0.11839032173156738,0.14357315003871918,0.00021221893257461488
plain_piv_cno,13950_5,100,1,0.11761154979467392,0.15422093868255615,0.00020733123528771102
plain_piv_cno,13950_5,120,1,0.12318892776966095,0.16662441194057465,0.00021980855672154576
plain_piv_cno,13950_5,140,1,0.11551620066165924,0.14707984030246735,0.00019711250206455588
plain_piv_cno,13950_5,160,1,0.11983755230903625,0.15562017261981964,0.00021753534383606166
plain_piv_cno,13950_5,180,1,0.11821825057268143,0.15141090750694275,0.00021061023289803416
plain_piv_cno,13950_5,200,1,0.12053709477186203,0.15974192321300507,0.00021636413293890655
plain_piv_cno,13950_5,220,1,0.11379668116569519,0.15224897861480713,0.00019080727361142635
plain_piv_cno,13950_5,240,1,0.12032343447208405,0.15714390575885773,0.0002091278729494661
plain_piv_cno,13950_5,260,1,0.12230365723371506,0.1683540940284729,0.00021714142349082977
plain_piv_cno,13950_5,280,1,0.11481179296970367,0.13692571222782135,0.00019662274280562997
plain_piv_cno,13950_5,300,1,0.12075818330049515,0.14268700778484344,0.00022211740724742413
plain_piv_cno,13950_5,320,1,0.11333394795656204,0.14203518629074097,0.00019602710381150246
plain_piv_cno,13950_5,340,1,0.11823428422212601,0.15034933388233185,0.00021229623234830797
plain_piv_cno,13950_5,360,1,0.11625625193119049,0.149575337767601,0.00020749670511577278
plain_piv_cno,13950_5,380,1,0.11925221979618073,0.1662515252828598,0.00021110347006469965
plain_piv_cno,13950_5,400,1,0.11820833384990692,0.15138857066631317,0.00020381095237098634
plain_piv_cno,13950_5,420,1,0.12057847529649734,0.15711566805839539,0.00021685769024770707
plain_piv_cno,13950_5,440,1,0.11824057996273041,0.14061622321605682,0.00020269191008992493
plain_piv_cno,13950_5,460,1,0.1172780692577362,0.14623284339904785,0.00020003908139187843
plain_piv_cno,13950_5,480,1,0.11434883624315262,0.1428745985031128,0.00019445610814727843
plain_piv_cno,13950_5,500,1,0.12018153816461563,0.16570422053337097,0.0002105043677147478
plain_piv_cno,13950_5,520,1,0.11549615859985352,0.1310952603816986,0.00019715045345947146
plain_piv_cno,13950_5,540,1,0.11910515278577805,0.16327457129955292,0.00021021498832851648
plain_piv_cno,13950_5,560,1,0.12260978668928146,0.15656203031539917,0.00021972561080474406
plain_piv_cno,13950_5,580,1,0.11865647882223129,0.153021901845932,0.0002046814770437777
plain_piv_cno,13950_5,600,1,0.11688358336687088,0.1496923714876175,0.00020175857935100794
plain_piv_cno,13950_5,620,1,0.11781838536262512,0.15602663159370422,0.00020844119717366993
plain_piv_cno,13950_5,640,1,0.12168725579977036,0.16229140758514404,0.00021666675456799567
plain_piv_cno,13950_5,660,1,0.11819377541542053,0.15735745429992676,0.000205091608222574
plain_piv_cno,13950_5,680,1,0.11549393832683563,0.12156261503696442,0.00019946423708461225
plain_piv_cno,13950_5,700,1,0.12324685603380203,0.1725292205810547,0.0002212034014519304
plain_piv_cno,13950_5,720,1,0.11884146183729172,0.13968223333358765,0.00020166111062280834
plain_piv_cno,13950_5,740,1,0.12305594980716705,0.12880226969718933,0.000219094697968103
plain_piv_cno,13950_5,760,1,0.11797922104597092,0.13713528215885162,0.00020607623446267098
plain_piv_cno,13950_5,780,1,0.12063927203416824,0.14656603336334229,0.00021695160830859095
plain_piv_cno,13950_5,800,1,0.12160659581422806,0.15609589219093323,0.00022383510076906532
plain_piv_cno,13950_5,820,1,0.12390448153018951,0.17951497435569763,0.0002307443501194939
plain_piv_cno,20325_5,0,1,0.1092090755701065,0.13865864276885986,0.00037870221422053874
plain_piv_cno,20325_5,20,1,0.11122597008943558,0.14144295454025269,0.00039264778024517
plain_piv_cno,20325_5,40,1,0.10795865207910538,0.1363857090473175,0.0003699356166180223
plain_piv_cno,20325_5,60,1,0.11435320228338242,0.14117328822612762,0.00041564920684322715
