trajectory_id,horizon,alpha,windows,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,frame_rel_l2_improvement_vs_base,frame_rmse_improvement_vs_base,tke_contrib_rel_l2_improvement_vs_base,mvpe_probe_rel_l2_improvement_vs_base,tke_contrib_ratio_delta_vs_base
10125_0.h5,15,1.0,29,0.050895386501495214,0.004643479142696535,0.7258265562105678,0.5925755688254843,0.03329260670852302,0.04166268057652156,0.04147731384939923,0.0021346695516504255,0.05034683440319365,-0.024291907302452675
10125_0.h5,16,0.0,29,0.05866629546899054,0.00534929689039407,0.7573906914681545,0.7901002668944541,0.03835830643704092,0.0,0.0,0.0,0.0,0.0
10125_0.h5,16,0.5,29,0.053541192037203804,0.004882947378881562,0.760907129077814,0.5712951275230973,0.03294818770077515,0.08736027033606941,0.08717959034017142,-0.004642831829426264,0.1410416475280425,-0.21880513937135682
10125_0.h5,16,1.0,29,0.05211093906154457,0.004753721773190397,0.7640162300095912,0.5210108119942078,0.03264910031988738,0.11173973667573678,0.1113370839956872,-0.00874784786249938,0.148838847369977,-0.26908945490024627
10125_0.h5,17,0.0,29,0.06271317859922236,0.005718067035709521,0.8003678750623446,0.9923689580984585,0.04149642213434515,0.0,0.0,0.0,0.0,0.0
10125_0.h5,17,0.5,29,0.05535612704119242,0.005048502489802373,0.7804365592808058,0.5735968088162277,0.0333499462651595,0.11731268805630535,0.11709630924676029,0.02490269337707529,0.19631754860241546,-0.41877214928223083
10125_0.h5,17,1.0,29,0.05380291742561215,0.004908409777085807,0.8012028603159048,0.4730697334557323,0.03390802929077927,0.14207956561335422,0.14159632154841428,-0.0010432518340333097,0.18286860537032257,-0.5192992246427262
10125_0.h5,18,0.0,29,0.06401907951764456,0.005839471275524735,0.8267879304127683,0.8101964250922377,0.03838504420166202,0.0,0.0,0.0,0.0,0.0
10125_0.h5,18,0.5,29,0.05862871003909911,0.005348006877475635,0.8317372083527476,0.5461926439277186,0.03503446403722291,0.08419942178424766,0.08416248233106283,-0.005986151657424887,0.08728868844949877,-0.26400378116451906
10125_0.h5,18,1.0,29,0.05696554414036795,0.005196392959753421,0.8472569237701464,0.48879396754934884,0.03608779947440673,0.11017864409207179,0.11012612023055579,-0.024757247420337913,0.05984739043639864,-0.3214024575428888
10125_0.h5,19,0.0,29,0.0732913292259509,0.00668753672782332,1.1065142923508957,1.2535257563504407,0.047590178547803105,0.0,0.0,0.0,0.0,0.0
10125_0.h5,19,0.5,29,0.06616734288349714,0.00603699525902008,0.9801190424208042,0.83376621090878,0.041869516582050244,0.09720094338159868,0.09727669473524969,0.11422830306290277,0.12020677669882252,-0.4197595454416607
10125_0.h5,19,1.0,29,0.06270898490597393,0.005720577150961211,0.9488651189937343,0.6853437279529261,0.03867283441516224,0.14438739796016675,0.14459129216279287,0.14247368917596237,0.18737782468463782,-0.5681820283975146
10125_0.h5,20,0.0,29,0.08579645367751638,0.007826574319662792,1.595978450796618,2.1548002495259717,0.053188341833953955,0.0,0.0,0.0,0.0,0.0
10125_0.h5,20,0.5,29,0.07348805388870326,0.0067041765026120016,1.0750526997933996,1.1912302919190723,0.043775061054540404,0.14346047256308259,0.14340856819451364,0.3263989878705462,0.17698015119178567,-0.9635699576068995
10125_0.h5,20,1.0,29,0.06878846277084519,0.006275206478750906,1.058725550227546,0.8303283030898047,0.04136991439449264,0.19823652584288887,0.1982179913649279,0.3366291695861602,0.22219958419378205,-1.3244719464361672
11400_10.h5,1,0.0,42,0.07364063188383595,0.007522559544796768,0.6796405544525527,0.9907508461811603,0.06759699810813301,0.0,0.0,0.0,0.0,0.0
11400_10.h5,1,0.5,42,0.05790295566961407,0.005914889555272228,0.5647176696005759,0.9948360044343965,0.05547828697193514,0.21370914142951947,0.21371316238188365,0.16909362470952993,0.17927883597451932,0.004085158253236187
11400_10.h5,1,1.0,42,0.04810990054752824,0.004914164013334055,0.542937090315055,1.1154388979430114,0.04683456613265768,0.34669353973742423,0.34674308869604076,0.20114082840099456,0.30715020720686814,0.12468805176185116
11400_10.h5,2,0.0,42,0.06731736530304519,0.006875388135648096,0.6175361741780039,0.7954366132615756,0.06481898712743601,0.0,0.0,0.0,0.0,0.0
11400_10.h5,2,0.5,42,0.057756002607457176,0.0058988736515785565,0.5554044127615388,0.8823445585591605,0.05756203777315314,0.14203411931743404,0.14203045192553188,0.10061234307312927,0.11195715446795707,0.08690794529758494
11400_10.h5,2,1.0,42,0.05407238238544952,0.005522248566516069,0.5653818905314161,1.0604761151897413,0.054462968021651674,0.19675432717799068,0.19680918988648133,0.0844554308353026,0.1597682957529729,0.2650395019281657
11400_10.h5,3,0.0,42,0.07286659161210407,0.007442954640037532,0.6854205357224263,1.0745713384204854,0.0846117865202916,0.0,0.0,0.0,0.0,0.0
11400_10.h5,3,0.5,42,0.06307278148338989,0.00644244066286862,0.6018725789409151,0.9588314422761938,0.06746619859392192,0.13440741376857956,0.13442430130997907,0.12189298748315525,0.20263829226981067,-0.11573989614429159
11400_10.h5,3,1.0,42,0.05753396690626659,0.005876389159971906,0.5831897319413782,0.9366181414229511,0.05406076538948199,0.21042050089921505,0.21047629010644175,0.1491504827372846,0.3610728763360038,-0.13795319699753428
11400_10.h5,4,0.0,42,0.06380347121228418,0.006514727685162672,0.6306703419083499,0.8217183226439541,0.051372234290514594,0.0,0.0,0.0,0.0,0.0
11400_10.h5,4,0.5,42,0.060960164536627115,0.006224638075879666,0.6202876237418073,0.8292187993641181,0.05048999892813214,0.04456351075628684,0.04452827858694497,0.016462987834698906,0.01717338898272036,0.007500476720164073
11400_10.h5,4,1.0,42,0.060902969770599356,0.006219080099859064,0.6216907272195413,0.8795346392489604,0.051599113702302205,0.04545993167102769,0.045381418777786675,0.014238206701835843,-0.004416382018827214,0.0578163166050063
11400_10.h5,5,0.0,42,0.06458823534842059,0.006593458705487244,0.6531327018539407,0.7581378233619158,0.049105947009880746,0.0,0.0,0.0,0.0,0.0
11400_10.h5,5,0.5,42,0.06235872311647898,0.006365696194549264,0.6480744664715157,0.7946125399096986,0.048301562849368575,0.034518859664063206,0.03454370780367977,0.007744575287789157,0.016380585438059425,0.03647471654778278
11400_10.h5,5,1.0,42,0.06231203027791136,0.006360812956753149,0.656747349614862,0.8632332561188094,0.04890824656941702,0.035241790679529594,0.0352843263491559,-0.005534323653770601,0.004025997918825297,0.10509543275689359
11400_10.h5,6,0.0,42,0.06601923798774878,0.0067384917451444315,0.6805890143089871,0.7287650270082737,0.04512535829860383,0.0,0.0,0.0,0.0,0.0
11400_10.h5,6,0.5,42,0.06439622086908485,0.006572700703567655,0.6801931008444615,0.7853116032915802,0.045437887335533916,0.024584002604893906,0.024603583093537273,0.0005817217971517685,-0.00692579624214873,0.056546576283306504
11400_10.h5,6,1.0,42,0.06446554676763275,0.006579608711434829,0.694636400211353,0.8657984955254461,0.04669043667217212,0.023533916286709533,0.023578426704178868,-0.02064004209152337,-0.034682901866658566,0.13703346851717235
11400_10.h5,7,0.0,42,0.06996941320918239,0.007141575980221415,0.7023105323191215,0.7752447639662202,0.05099384915799156,0.0,0.0,0.0,0.0,0.0
11400_10.h5,7,0.5,42,0.06778366763104272,0.006918569031874002,0.70928941385568,0.8103716843573567,0.049046242882340794,0.031238586660789935,0.031226573653354794,-0.00993703100751353,0.03819296459885968,0.03512692039113652
11400_10.h5,7,1.0,42,0.06722904088739734,0.00686194084470624,0.7268940025304491,0.8719786807632272,0.048982602318871686,0.039165289461444486,0.039155942090320695,-0.0350037043160234,0.03944096929981755,0.09673391679700694
11400_10.h5,8,0.0,42,0.07238669478187014,0.007387491493809078,0.7113387242943329,0.8173247045416965,0.057356073884551675,0.0,0.0,0.0,0.0,0.0
11400_10.h5,8,0.5,42,0.07020416762914233,0.00716491477964615,0.7191639653515304,0.8439127715593994,0.05503147682176707,0.030150943613389547,0.030128862327551076,-0.011000724113481075,0.04052922219647803,0.026588067017702888
11400_10.h5,8,1.0,42,0.06937319214945364,0.007080207354957719,0.7378363132392769,0.8930600047063363,0.054114581050898045,0.041630615149612415,0.041595193592963375,-0.03725031133547563,0.05651524963473309,0.07573530016463981
11400_10.h5,9,0.0,42,0.07416674678662927,0.007570161884763509,0.719573644076051,0.822842073378406,0.05912446630515842,0.0,0.0,0.0,0.0,0.0
11400_10.h5,9,0.5,42,0.0723297756767136,0.007382842456468595,0.7277041226351303,0.8568508032442714,0.057770888669088735,0.024768123040376344,0.024744441551762808,-0.011299022172385209,0.02289369732461477,0.03400872986586545
11400_10.h5,9,1.0,42,0.07162620188771715,0.007311142363269342,0.746564312274292,0.9088511480056755,0.05725037737311968,0.03425450095877902,0.03421584973176017,-0.03750925067982114,0.03169735050741984,0.08600907462726948
