window,rms,norm,relative_to_global_output
95,0.002719965996220708,0.0038466129917651415,0.011574074625968933
96,0.002715940587222576,0.0038409202825278044,0.011551139876246452
97,0.0026930898893624544,0.0038086040876805782,0.01153589878231287
98,0.002680281875655055,0.0037904910277575254,0.011523899622261524
99,0.0026871387381106615,0.003800188424065709,0.011542361229658127
100,0.00267518637701869,0.003783284919336438,0.011515480466187
101,0.0026531098410487175,0.00375206395983696,0.01150173507630825
102,0.002662372775375843,0.0037651637103408575,0.011493169702589512
103,0.0026990030892193317,0.003816966898739338,0.011537311598658562
104,0.0027056930121034384,0.0038264277391135693,0.011535919271409512
105,0.002726172562688589,0.003855390241369605,0.011562297120690346
106,0.002725607715547085,0.0038545913994312286,0.011584422551095486
107,0.002746949903666973,0.0038847739342600107,0.011601682752370834
108,0.0027178653981536627,0.0038436418399214745,0.011520001105964184
109,0.0027321127709001303,0.0038637907709926367,0.01151668094098568
110,0.002726959530264139,0.0038565031718462706,0.011546079069375992
111,0.002720208140090108,0.0038469552528113127,0.011573340743780136
112,0.0027171524707227945,0.0038426341488957405,0.011566182598471642
113,0.0012534493580460548,0.0017726451624184847,0.010120647959411144
114,0.001273849280551076,0.001801494974642992,0.010140453465282917
115,0.00128638104069978,0.0018192174611613154,0.010140376165509224
116,0.001286300946958363,0.0018191041890531778,0.010130191221833229
117,0.0012773930793628097,0.0018065065378323197,0.010165360756218433
118,0.001272263820283115,0.0017992528155446053,0.010125414468348026
119,0.0012522443430498242,0.0017709409585222602,0.010121860541403294
120,0.0012531587854027748,0.0017722340999171138,0.010110907256603241
121,0.0012652109144255519,0.0017892783507704735,0.01013466902077198
122,0.0012738590594381094,0.0018015088280662894,0.01014768611639738
123,0.0012699039652943611,0.0017959153046831489,0.010131850838661194
124,0.001259550335817039,0.0017812730511650443,0.010116388089954853
125,0.0012528510997071862,0.0017717989394441247,0.010133465752005577
126,0.0012416160898283124,0.0017559104599058628,0.010124140419065952
127,0.001254573930054903,0.0017742355121299624,0.010119578801095486
128,0.0012727215653285384,0.001799900084733963,0.010160109028220177
129,0.00127651437651366,0.001805263920687139,0.010113023221492767
130,0.0012717520585283637,0.0017985288286581635,0.010145067237317562
131,0.0012890317011624575,0.0018229660345241427,0.010166330263018608
132,0.0012727441499009728,0.0017999320989474654,0.010166903026401997
133,0.001253036200068891,0.0017720608739182353,0.010135716758668423
134,0.0012568404199555516,0.0017774406587705016,0.010113736614584923
135,0.0012580722104758024,0.0017791828140616417,0.010141631588339806
136,0.0012431127252057195,0.0017580270068719983,0.010132492519915104
137,0.0012530795065686107,0.0017721221083775163,0.010119963437318802
138,0.0012606336968019605,0.0017828054260462523,0.010133996605873108
139,0.0012517737923189998,0.0017702755285426974,0.010131270624697208
140,0.0012556842993944883,0.0017758057219907641,0.010130957700312138
141,0.0012658463092520833,0.0017901769606396556,0.01013021357357502
142,0.0012472533853724599,0.0017638825811445713,0.010118882171809673
143,0.0012493038084357977,0.0017667823703959584,0.010121425613760948
144,0.0012643334921449423,0.001788037596270442,0.01013006828725338
145,0.001266220468096435,0.0017907061846926808,0.010129332542419434
146,0.0012487877393141389,0.0017660525627434254,0.0101165771484375
147,0.0012601636117324233,0.0017821404617279768,0.010110472328960896
148,0.0012555933790281415,0.0017756770830601454,0.010134915821254253
149,0.0012390738120302558,0.001752314972691238,0.010122755542397499
150,0.0012372315395623446,0.001749709714204073,0.010106582194566727
151,0.0012495281407609582,0.0017670996021479368,0.010125893168151379
152,0.0012572238920256495,0.0017779831541702151,0.010116356424987316
153,0.001265348051674664,0.001789472415111959,0.010130289942026138
154,0.0012731058523058891,0.0018004435114562511,0.01015267800539732
155,0.0019643292762339115,0.0027779811061918736,0.010806355625391006
156,0.001971176592633128,0.0027876647654920816,0.010809194296598434
157,0.001969030126929283,0.0027846291195601225,0.01082602795213461
158,0.00197106646373868,0.002787509001791477,0.010815497487783432
159,0.001970363315194845,0.0027865145821124315,0.010828672908246517
160,0.0019656375516206026,0.002779831178486347,0.01083585899323225
161,0.001962259178981185,0.00277505349367857,0.010806260630488396
162,0.001967672724276781,0.0027827094309031963,0.010834712535142899
163,0.001975458348169923,0.002793719759210944,0.010832570493221283
164,0.001961556961759925,0.002774060470983386,0.010824977420270443
165,0.0019720119889825583,0.002788846381008625,0.010828082449734211
166,0.0019730336498469114,0.0027902908623218536,0.010868464596569538
167,0.0019581210799515247,0.0027692012954503298,0.010833918116986752
168,0.0019680671393871307,0.0027832670602947474,0.010844907723367214
