experiment,trajectory,window_start,horizon,rel_l2,mvpe,velocity_squared_error,pred_speed_mean,target_speed_mean
LOSS-E0-best,10125_0.h5,160,1,0.11741957813501358,0.07604952901601791,0.000235010840697214,0.12083625793457031,0.11902260780334473
LOSS-E0-best,10125_0.h5,160,2,0.11038433760404587,0.06474285572767258,0.00020798301557078958,0.12135707587003708,0.11908154934644699
LOSS-E0-best,10125_0.h5,160,3,0.10389358550310135,0.06147027388215065,0.00018440591520629823,0.11875692009925842,0.11914728581905365
LOSS-E0-best,10125_0.h5,160,4,0.10495247691869736,0.054231394082307816,0.00018824657308869064,0.11915470659732819,0.11917293816804886
LOSS-E0-best,10125_0.h5,160,5,0.10421479493379593,0.056443311274051666,0.00018556354916654527,0.11833854019641876,0.11914867162704468
LOSS-E0-best,10125_0.h5,160,6,0.10150593519210815,0.05629250034689903,0.0001759199076332152,0.12008436024188995,0.1191195547580719
LOSS-E0-best,10125_0.h5,160,7,0.10267221927642822,0.05641617998480797,0.00017986637249123305,0.1193983256816864,0.11906394362449646
LOSS-E0-best,10125_0.h5,160,8,0.1060233861207962,0.05968429893255234,0.00019201336544938385,0.11954940110445023,0.11913996934890747
LOSS-E0-best,10125_0.h5,160,9,0.10712680965662003,0.05934863165020943,0.00019613062613643706,0.11908970773220062,0.11915329098701477
LOSS-E0-best,10125_0.h5,160,10,0.1064780205488205,0.05832686647772789,0.0001938239875016734,0.11938057839870453,0.11920366436243057
LOSS-E0-best,10125_0.h5,160,11,0.10666762292385101,0.05901351198554039,0.00019453861750662327,0.120237335562706,0.11929591000080109
LOSS-E0-best,10125_0.h5,160,12,0.10651087760925293,0.06003732979297638,0.0001939833164215088,0.12050797045230865,0.119303859770298
LOSS-E0-best,10125_0.h5,160,13,0.10687003284692764,0.06093726307153702,0.00019563306705094874,0.12034251540899277,0.11949390172958374
LOSS-E0-best,10125_0.h5,160,14,0.10760582238435745,0.06442395597696304,0.00019869155948981643,0.12073241174221039,0.11959217488765717
LOSS-E0-best,10125_0.h5,160,15,0.10778672993183136,0.06704959273338318,0.00019928267283830792,0.12156132608652115,0.11948826164007187
LOSS-E0-best,10125_0.h5,160,16,0.1116412803530693,0.06814052909612656,0.00021372470655478537,0.12151625007390976,0.11945678293704987
LOSS-E0-best,10125_0.h5,160,17,0.11063606292009354,0.06323068588972092,0.00021008987096138299,0.1201997622847557,0.11944551765918732
LOSS-E0-best,10125_0.h5,160,18,0.1094733402132988,0.06007006764411926,0.0002058983955066651,0.12149842828512192,0.11952215433120728
LOSS-E0-best,10125_0.h5,160,19,0.11567317694425583,0.06228378042578697,0.00023044200497679412,0.12395069748163223,0.11967527866363525
LOSS-E0-best,10125_0.h5,160,20,0.13461926579475403,0.07125784456729889,0.00031272636260837317,0.12395750731229782,0.11982094496488571
LOSS-E0-best,10125_0.h5,180,1,0.11439070850610733,0.07315292954444885,0.00022600009106099606,0.1217484325170517,0.11987420916557312
LOSS-E0-best,10125_0.h5,180,2,0.10633136332035065,0.062436897307634354,0.00019537667685654014,0.12267161905765533,0.11988561600446701
LOSS-E0-best,10125_0.h5,180,3,0.10231056064367294,0.05791686102747917,0.0001812852715374902,0.12014037370681763,0.12006811797618866
LOSS-E0-best,10125_0.h5,180,4,0.10394568741321564,0.052473034709692,0.00018744912813417614,0.1208319365978241,0.12016365677118301
LOSS-E0-best,10125_0.h5,180,5,0.10337873548269272,0.054851628839969635,0.0001857406459748745,0.11978524923324585,0.12027692794799805
